                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4097,                 3.1171,                 1.9452,                0.80796,                    0.2,                0.19285,                0.12853,                0.63917,                 3.6002,                 1.0393,               0.090476,             0.00029455,             0.00029455
                      2,                 1.1695,                 2.7636,                 1.7628,                0.16095,                0.50657,                0.23084,                0.08108,                 1.6891,                 6.5323,                 2.1574,               0.080775,             0.00059336,             0.00059336
                      3,                 1.1148,                 2.5006,                 1.6749,                0.10135,                   0.41,                0.09524,                0.06595,                0.80885,                 5.6467,                 1.3413,               0.071073,             0.00089097,             0.00089097
                      4,                  1.175,                  2.389,                 1.7456,                0.13185,                0.47039,                0.20943,                0.05691,                 1.9303,                 5.0396,                 2.5343,               0.061369,              0.0011874,              0.0011874
                      5,                 1.1613,                 2.2777,                 1.7389,                 0.1065,                0.61869,                0.20874,                0.06644,                   1.96,                  5.176,                 2.5442,               0.051664,              0.0014826,              0.0014826
                      6,                 1.0827,                 2.1661,                 1.6501,                0.22668,                0.69466,                 0.3887,                0.24884,                 0.8496,                 2.2439,                  1.114,               0.041958,              0.0017766,              0.0017766
                      7,                 1.0735,                 2.1347,                 1.6382,                0.02871,                0.29257,                0.02988,                0.00869,                 1.6526,                 6.7223,                 1.7864,               0.032251,              0.0020694,              0.0020694
                      8,                 1.0787,                 2.1033,                 1.6489,                0.10802,                0.55235,                0.19568,                0.11034,                 1.0836,                 3.7898,                 1.2052,               0.022543,               0.002361,               0.002361
                      9,                 1.0227,                 2.1202,                    1.6,                0.29413,                0.70858,                0.35177,                0.20184,                 1.1558,                 2.5194,                 1.3466,               0.012833,              0.0026514,              0.0026514
                     10,                 1.0777,                 2.0567,                 1.6364,                0.13635,                0.63084,                0.24059,                0.14538,                0.94102,                 2.3613,                 1.0696,              0.0031225,              0.0029406,              0.0029406
                     11,                 1.0388,                 2.0398,                 1.6201,                0.20036,                0.78414,                0.36227,                0.19004,                0.80471,                 2.4983,                 1.0427,                0.00294,                0.00294,                0.00294
                     12,                 1.0581,                 1.9993,                 1.6135,                   0.28,                0.62119,                0.30296,                0.18142,                 0.9034,                 2.4443,                 1.1049,               0.002934,               0.002934,               0.002934
                     13,                0.95973,                 1.9158,                 1.5595,                0.40057,                0.69752,                0.41954,                0.26666,                0.75948,                 2.2513,                0.92821,               0.002928,               0.002928,               0.002928
                     14,                0.91307,                 1.9591,                 1.4982,                 0.3666,                0.75482,                0.36444,                0.22352,                0.92117,                 2.1163,                 1.1162,               0.002922,               0.002922,               0.002922
